curso,usuarios,horas
A Revolução da Internet,2,00:35:04
Anlix: Gerência Remota via TR-069,1,02:08:02
Anlix: Princípios do Wi-Fi e Gerenciamento via Flashman,1,03:57:31
Apresentação TcheTurbo,2,00:09:46
Atendimento Encantador,3,11:24:46
Boas Vindas,2,00:07:10
CFTV para Instaladores,5,13:17:25
Certificação de rede e OTDR,2,10:58:24
Comece Por Aqui,2,00:08:58
Comece sua Jornada aqui,1,00:14:17
Criando Clientes Influenciadores,10,14:20:31
Cultura do Encantamento,4,11:28:55
Curso de GPON e XGS-PON,3,18:35:47
Cálculo de Potência,2,04:30:44
Destruindo o Impossível,2,01:56:00
Dispositivos Inteligentes,6,25:16:19
Documentário: Instalação na Prática,5,04:49:05
Dominando o  Ping - Do Zero ao Avançado,7,19:08:54
Evolua-se,2,00:57:20
Fibra Óptica,14,51:40:12
Fibra Óptica de A a Z - Fusão,1,06:52:05
Fibra Óptica de A a Z - Projetos FTTH,1,05:58:03
Fibra Óptica do Zero,6,41:29:52
"Fusão, montagem de caixas e DIO",3,14:56:39
Gestão de Inadimplência com Guilherme Nigri,1,00:57:12
Gestão de Sucesso do Cliente,6,09:22:00
Gestão de Talentos em Telecom,7,22:44:53
Instalação Blindada,10,56:47:04
Início da Jornada,2,00:05:14
Lançamento de Fibra Óptica e Adequação de Ferragens,2,10:48:12
Mikrotik Básico - Primeiros Acessos e Configurações Básicas,3,05:26:08
Monitoramento da Rede PON via ZABBIX e GRAFANA,3,10:57:54
Método 3Ps de Desenvolver Projetos FTTH,1,06:37:35
NPS na prática: Do Zero à execução com resultados,4,03:15:01
NPS: A Pergunta Definitiva,2,04:11:44
O Cliente Feliz,2,00:24:02
O Líder do Futuro,1,00:29:43
O Novo Mercado da Telecom,2,00:48:32
Prática com PARKS,4,12:23:04
Psicologia das Vendas,1,00:34:03
Redes,2,12:22:28
Redes DWDM,4,29:37:47
Redes Neutras: Planejamento Técnico de Implantação,5,06:42:30
Redes TCP/IP 1,10,58:18:30
Redes TCP/IP Avançado,3,31:59:15
Redes TCP/IP Básico,5,10:50:07
Redes TCP/IP Intermediário,5,13:55:44
Sucesso do Cliente na Gestão de Inadimplência,9,29:10:50
Sucesso do Cliente na Instalação,4,06:41:56
Sucesso do Cliente na Venda,7,08:35:59
Sucesso do Cliente no Produto,5,07:06:55
Sucesso do Cliente no Suporte,4,07:09:17
Supervisão Eficiente - Como Gerenciar a Segurança em Equipes Técnicas,3,03:51:00
Suporte Técnico - Nível 1,9,41:11:03
Switches PARKS,1,02:36:53
Wi-Fi Premium Residencial,7,37:56:26
WiFeed - Captive Portal ou Hotspot Wi-Fi,2,04:04:04
Workshop: A Instalação Perfeita (2026),3,06:05:48
Workshop: Certificação de Redes GPON e XGS-PON na Prática,1,01:57:03
Workshop: Gestão de Inadimplência para Provedores de Internet - 2ª edição,1,00:57:12
Workshop: Segurança em Equipes Técnicas,1,01:36:10
Workshop: Técnico IoT na Prática,1,01:26:36
